token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
narütuãchimare ,(na²rü³tu⁵ã⁴chi²ma³re³),v.i., desinflarse ,narütuãchimare (na²rü³tu⁵ã⁴chi²ma³re³)  v.i. desinflarse Ngẽma chorü peruta rü narütuãchimare erü tuxugu  nangu. Mi  pelota se desinfló porque se cayó sobre  una espina.,Ngẽma chorü peruta rü narütuãchimare erü tuxugu  nangu. Mi  pelota se desinfló porque se cayó sobre  una espina.,Ngẽma chorü peruta rü narütuãchimare erü tuxugu  nangu.,Mi  pelota se desinfló porque se cayó sobre  una espina.
narüwamae ,(na²rü³wa⁵mae³),v.i., estar carcomido ,narüwamae (na²rü³wa⁵mae³) v.i. estar carcomido Narüwamae i ñaa  mürapewa erü naxãwe. Esta tabla está carcomida  porque tiene polilla. Véase nanañaimae,Narüwamae i ñaa  mürapewa erü naxãwe. Esta tabla está carcomida  porque tiene polilla.,Narüwamae i ñaa  mürapewa erü naxãwe.,Esta tabla está carcomida  porque tiene polilla.
narüwax ,(na²rü³wa̱x⁵),v.t., posarse ,narüwax (na²rü³wa̱x⁵) v.t. posarse (ave)  Ngẽma mutucu rü naitanügu narüwax. La paloma se posa sobre la rama de  un árbol.,Ngẽma mutucu rü naitanügu narüwax. La paloma se posa sobre la rama de  un árbol.,Ngẽma mutucu rü naitanügu narüwax.,La paloma se posa sobre la rama de  un árbol.
narüwãxta ,(na²rü³wãx²ta⁵),v.e., estar cerrado ,narüwãxta (na²rü³wãx²ta⁵) v.e. estar cerrado Ínixũ i norü yora rü  ngẽmacax narüwãxta ya napata. El dueño  se ha ido y por eso su casa está cerrada.,El dueño  se ha ido y por eso su casa está cerrada.,,
narüwĩ́ẽ müane ,(na²rü³wĩ¹⁵e³mü⁵a⁵ne⁵),v.i.," caer, deslizarse ","narüwĩ́ẽ müane (na²rü³wĩ¹⁵e³mü⁵a⁵ne⁵)  v.i. caer, deslizarse (barranco)Narüwĩ́e müane i ngẽma waixümü erü  naporaxü̃chixü. El barranco cae por la n  fuerte corriente del río.",Narüwĩ́e müane i ngẽma waixümü erü  naporaxü̃chixü. El barranco cae por la n  fuerte corriente del río.,Narüwĩ́e müane i ngẽma waixümü erü  naporaxü̃chixü.,El barranco cae por la n  fuerte corriente del río.
narüxãũ̱x ,(na²rüx³ãũ̱ ̱x⁵),v.i.,"['quedarse ', 'hospedarse ']",narüxãũ̱x (na²rüx³ãũ̱ ̱x⁵) v.i.1.  quedarse (sujeto singular) Chopatagu narüxãũ̱ x i chaune. Mi hijo se    ha quedado en la casa.2.  hospedarse (sujeto singular)  [suj. pl. narücho],,,
narüxo̱x ,(na²rüx³o̱ x⁵),v.i.,"['tener llaga, tener úlcera ', 'estar infectado']","narüxo̱x (na²rüx³o̱ x⁵) v.i.1.  tener llaga, tener úlcera Naparawanarüxo̱x rü ngẽmacax tama inachi.   Tiene una llaga en la pierna y por eso no se para.2.  estar infectado",Naparawanarüxo̱x rü ngẽmacax tama inachi.   Tiene una llaga en la pierna y por eso no se para.2.,Naparawanarüxo̱x rü ngẽmacax tama inachi.,Tiene una llaga en la pierna y por eso no se para.2.
narüxo̱ xeru ,(na²rüx³o̱ x⁵e⁴ru²),v.i., tener  granos ,narüxo̱ xeru (na²rüx³o̱ x⁵e⁴ru²) v.i. tener  granos (en la cabeza) Ngẽma buxü̃ rü  poraãcü narüxo̱ xeru erü tama guxü̃guma nayauxeru. El niño tiene  muchos granos en la cabeza porque no se la lava frecuentemente.,Ngẽma buxü̃ rü  poraãcü narüxo̱ xeru erü tama guxü̃guma nayauxeru. El niño tiene  muchos granos en la cabeza porque no se la lava frecuentemente.,Ngẽma buxü̃ rü  poraãcü narüxo̱ xeru erü tama guxü̃guma nayauxeru.,El niño tiene  muchos granos en la cabeza porque no se la lava frecuentemente.
narüxü ,(na²rüx³ü³),v.i.," germinar, brotar ","narüxü (na²rüx³ü³) v.i. germinar, brotar Marü  narüxü i chawü ga chauanegu chatoxü̃ne. El maíz que sembré en mi  chacra ya germinó.  Véase nayarügo",Marü  narüxü i chawü ga chauanegu chatoxü̃ne. El maíz que sembré en mi  chacra ya germinó.,Marü  narüxü i chawü ga chauanegu chatoxü̃ne.,El maíz que sembré en mi  chacra ya germinó.
narüxüe ,(na²rüx³ü⁴e³),v.i.," bajar, descender ","narüxüe (na²rüx³ü⁴e³) v.i. bajar, descender (sujeto singular) Ĩpatawa  narüxüe nax yayauxpaü̃xü̃cax̱ . Baja  de la casa para lavar los platos. [suj. pl.ínarüxĩgü]",Baja  de la casa para lavar los platos. [suj. pl.,,
narüxüetanü ,(na²rüx³ü⁴e³ta⁴nü⁵),v.i., bajar ,"narüxüetanü (na²rüx³ü⁴e³ta⁴nü⁵) v.i. bajar (precio), abaratarse  Ngẽxguma namuxgu i ui rü narüxüetanü natürüngẽxguma natauxguma i ui rü naxĩnagütanü.  Cuando hay mucha  fariña se abarata, pero cuando escasea, sube el precio. Antón.  naxĩnagütanü","Ngẽxguma namuxgu i ui rü narüxüetanü natürüngẽxguma natauxguma i ui rü naxĩnagütanü.  Cuando hay mucha  fariña se abarata, pero cuando escasea, sube el precio. Antón.","Ngẽxguma namuxgu i ui rü narüxüetanü natürüngẽxguma natauxguma i ui rü naxĩnagütanü.  Cuando hay mucha  fariña se abarata, pero cuando escasea, sube el precio.",Antón.
narüxüxchumaxã ,(na²rüx³üx⁴chu¹ma̱x⁵ã³),v.i.," arraigar, echar  raíces ","narüxüxchumaxã (na²rüx³üx⁴chu¹ma̱x⁵ã³) v.i. arraigar, echar  raíces Ngẽxguma natoxgu ya tüxe rü narüxüxchumaxã. Cuando sembramos  yuca, se arraiga.","Ngẽxguma natoxgu ya tüxe rü narüxüxchumaxã. Cuando sembramos  yuca, se arraiga.",Ngẽxguma natoxgu ya tüxe rü narüxüxchumaxã.,"Cuando sembramos  yuca, se arraiga."
narüyi ,(na²rü³yi⁵),v.i., caerse ,narüyi (na²rü³yi⁵) v.i. caerse (sujeto plural)  [suj. sing. narüngu],,,
narüyixtapü̱ x ,(na²rü³yix⁵ta²pü̱ x⁵),v.i.," derrumbarse, desmoronarse  ","narüyixtapü̱ x (na²rü³yix⁵ta²pü̱ x⁵) v.i. derrumbarse, desmoronarse  (sujeto plural) Yima ĩpatagü ya tiyurunaxcaxrü narüyixtapü̱ x. Las  paredes de esas casas de ladrillo se desmoronan.  [suj. sing. inagüxtapü̱ x]",Yima ĩpatagü ya tiyurunaxcaxrü narüyixtapü̱ x. Las  paredes de esas casas de ladrillo se desmoronan.  [suj. sing.,Yima ĩpatagü ya tiyurunaxcaxrü narüyixtapü̱ x.,Las  paredes de esas casas de ladrillo se desmoronan.  [suj. sing.
narüyuxu ,(na²rü³yux⁴u³),v.i.," brincar, saltar  ","narüyuxu (na²rü³yux⁴u³) v.i. brincar, saltar  Naitanüwa narüyuxu i ngẽma buxü̃. El niño brinca de la rama del  árbol.",Naitanüwa narüyuxu i ngẽma buxü̃. El niño brinca de la rama del  árbol.,Naitanüwa narüyuxu i ngẽma buxü̃.,El niño brinca de la rama del  árbol.
nata1 ,(na²³ta²),s.n., racimo ,nata1 (na²³ta²) s.n. racimo Ngẽma nata  i poxi rü nümaxü̃ rü natataxüchi. Ese racimo de plátanos tiene varios  plátanos que son muy grandes.,Ngẽma nata  i poxi rü nümaxü̃ rü natataxüchi. Ese racimo de plátanos tiene varios  plátanos que son muy grandes.,Ngẽma nata  i poxi rü nümaxü̃ rü natataxüchi.,Ese racimo de plátanos tiene varios  plátanos que son muy grandes.
nata2 ,(na²³ta⁴),s.m., tío ,nata2 (na²³ta⁴) s.m. tío (materno) Nata rü  ngéma narüto erü nachibüchaü̃. Su tío estásentadoalláporquequiere  comer.,Nata rü  ngéma narüto erü nachibüchaü̃. Su tío estásentadoalláporquequiere  comer.,Nata rü  ngéma narüto erü nachibüchaü̃.,Su tío estásentadoalláporquequiere  comer.
na²ta²) ,(Colombia y Perú),v.e., ser grande ,nata3 (na²ta²) (Colombia y Perú) v.e. ser grande Nata ya napata erü  namu i norü buxü̃gü. Su casa es grande  porque él tiene muchos hijos. Brasil:naxãũ,Colombia y Perú) v.e. ser grande Nata ya napata erü  namu i norü buxü̃gü. Su casa es grande  porque él tiene muchos hijos.,Colombia y Perú) v.e. ser grande Nata ya napata erü  namu i norü buxü̃gü.,Su casa es grande  porque él tiene muchos hijos.
nataãẽ ,(na²ta²³ã¹ẽ⁴),v.e.," estar feliz, estar contento, estar  satisfecho ","nataãẽ (na²ta²³ã¹ẽ⁴) v.e. estar feliz, estar contento, estar  satisfecho Nataãẽ erü mea nachibü. Está feliz porque ha comido bien.",Nataãẽ erü mea nachibü. Está feliz porque ha comido bien.,Nataãẽ erü mea nachibü.,Está feliz porque ha comido bien.
nataãẽchiwe ,(na²ta²ã¹ẽ⁴chi¹we²),v.e., estar contento ,nataãẽchiwe (na²ta²ã¹ẽ⁴chi¹we²) v.e. estar contento (lit. tener cara  feliz) Guxü̃guma nataãẽchiwe erü mecümacü nixĩ. Siempre está contento  porque es bueno.,Guxü̃guma nataãẽchiwe erü mecümacü nixĩ. Siempre está contento  porque es bueno.,Guxü̃guma nataãẽchiwe erü mecümacü nixĩ.,Siempre está contento  porque es bueno.
nataanü ,(na²ta⁴a⁵nü³),v.e.,"['ser comilón', 'ser barrigón ']",nataanü (na²ta⁴a⁵nü³) v.e.1.  ser comilón2.  ser barrigón Nataanü erü poraãcü nachibü. Es barrigón porque come      mucho.,Nataanü erü poraãcü nachibü. Es barrigón porque come      mucho.,Nataanü erü poraãcü nachibü.,Es barrigón porque come      mucho.
nataarü dexáãx ,(na²ta²a⁵rü³ dex⁵a¹ã̱x⁵),v.e., ser caudaloso ,nataarü dexáãx (na²ta²a⁵rü³ dex⁵a¹ã̱x⁵)  v.e. ser caudaloso Taxtüwa rü nataarü dexáãx erü napuecha. El agua del  río está caudalosa porque sigue lloviendo.,Taxtüwa rü nataarü dexáãx erü napuecha. El agua del  río está caudalosa porque sigue lloviendo.,Taxtüwa rü nataarü dexáãx erü napuecha.,El agua del  río está caudalosa porque sigue lloviendo.
natachiga ,(na²ta⁴chi⁵ga⁵),v.e.," tener buena fama, ser honrado ","natachiga (na²ta⁴chi⁵ga⁵) v.e. tener buena fama, ser honrado Tupana rünatachigaxüchi i guxü̃wama i  Iraéanewa. dios tiene mucha fama en toda la tierra de Israel.",Tupana rünatachigaxüchi i guxü̃wama i\.  Iraéanewa. dios tiene mucha fama en toda la tierra de\. Israel.,,
natacu ,(na²ta³cu⁵),s.n., pelvis  ,natacu (na²ta³cu⁵) s.n. pelvis  Naitanüwa narüngu rü ngẽmacax̱ natacuwa nangu̱ x Se cayó de un árbol y  por eso le duele la pelvis.,Naitanüwa narüngu rü ngẽmacax̱ natacuwa nangu̱ x\. Se cayó de un árbol y  por eso le duele la pelvis.,,
natacu̱ xrü̱ xü ,(na²ta³cu̱ x⁵rü̱ x⁵ü³),s.n.,  culata ,natacu̱ xrü̱ xü (na²ta³cu̱ x⁵rü̱ x⁵ü³) s.n.  culata (de una casa),,,
nataegu ,(na²ta¹e⁵gu⁵),v.i.," regresar, volver ","nataegu (na²ta¹e⁵gu⁵) v.i. regresar, volver (sujeto singular) Cowenawa  nataegu erü nagúarü diẽruãx. Vuelve de Caballo Cocha porque ya se le  acabó el dinero. [suj. pl. nawoegu]",Cowenawa  nataegu erü nagúarü diẽruãx. Vuelve de Caballo Cocha porque ya se le  acabó el dinero. [suj. pl.,Cowenawa  nataegu erü nagúarü diẽruãx.,Vuelve de Caballo Cocha porque ya se le  acabó el dinero. [suj. pl.
nataga ,(na²ta³ga⁵),v.i.,"['hablar ', 'sonar fuerte ']",nataga (na²ta³ga⁵) v.i.1.  hablar (en voz alta)2.  sonar fuerte Nataga i ngẽma paxetaruxü̃. Ese instrumento suena      fuerte. Antón. naxíga,Nataga i ngẽma paxetaruxü̃. Ese instrumento suena      fuerte. Antón.,Nataga i ngẽma paxetaruxü̃. Ese instrumento suena      fuerte.,Antón.
nataganaa ,(na²ta⁴ga⁵na²a³),v.e., tener voz grave ,nataganaa (na²ta⁴ga⁵na²a³) v.e. tener voz grave Ngẽma yatü rü  nataganaa ega yadexagu. Ese hombre tiene voz grave.,Ngẽma yatü rü  nataganaa ega yadexagu. Ese hombre tiene voz grave.,Ngẽma yatü rü  nataganaa ega yadexagu.,Ese hombre tiene voz grave.
natai ,(na²tai⁴),"['v.e.', 'v.i.']","[' ser duro ', ' durar, permanecer ']","natai (na²tai⁴)1.  v.e. ser duro Yema mürapewa ga naxcax chataxexü̃ rü natai. Esa tabla    que compré es dura.2.  v.i. durar, permanecer Yema peta rü taxre ga ngunexü̃ natai. Esa    fiesta duró dos días.","Yema mürapewa ga naxcax chataxexü̃ rü natai. Esa tabla    que compré es dura.2.  v.i. durar, permanecer Yema peta rü taxre ga ngunexü̃ natai. Esa    fiesta duró dos días.","Yema mürapewa ga naxcax chataxexü̃ rü natai. Esa tabla    que compré es dura.2.  v.i. durar, permanecer Yema peta rü taxre ga ngunexü̃ natai.",Esa    fiesta duró dos días.
nataiya ,(na²tai³⁵ya⁴),v.i., tener hambre ,nataiya (na²tai³⁵ya⁴) v.i. tener hambre Nataiya erü tocuchiwa nangu.  Tiene hambre porque ya es mediodía.,Nataiya erü tocuchiwa nangu.  Tiene hambre porque ya es mediodía.,Nataiya erü tocuchiwa nangu.,Tiene hambre porque ya es mediodía.
natama ,(na²⁵ta⁵ma⁵),s.n., fondo ,natama (na²⁵ta⁵ma⁵) s.n. fondo Natama ya naxtaxa rü naxnücü nixĩ. El  fondo de ese lago es arenoso.,Natama ya naxtaxa rü naxnücü nixĩ. El  fondo de ese lago es arenoso.,Natama ya naxtaxa rü naxnücü nixĩ.,El  fondo de ese lago es arenoso.
natamenaxã ,(na²ta²me²na̱x⁵ã³),v.e., ser grueso ,natamenaxã (na²ta²me²na̱x⁵ã³) v.e. ser grueso (árbol o palo) Yima  wochine rü natamenaxã. Esa lupuna es un árbol grueso.,Yima  wochine rü natamenaxã. Esa lupuna es un árbol grueso.,Yima  wochine rü natamenaxã.,Esa lupuna es un árbol grueso.
natamü ,(na²³ta²mü̃³),s.n., restinga ,"natamü (na²³ta²mü̃³) s.n. restinga (área inundable, zona baja) Ngẽma  ngobü rü natamüwa namu. Los motelos abundan en la restinga.",Ngẽma  ngobü rü natamüwa namu. Los motelos abundan en la restinga.,Ngẽma  ngobü rü natamüwa namu.,Los motelos abundan en la restinga.
natanü1 ,(na²³ta⁴nü⁴),s.n.," precio, costo ","natanü1 (na²³ta⁴nü⁴) s.n. precio, costo Natanü ya yima mutúru rü  natatanüxüchi. El precio de ese motor es muy alto.",Natanü ya yima mutúru rü  natatanüxüchi. El precio de ese motor es muy alto.,Natanü ya yima mutúru rü  natatanüxüchi.,El precio de ese motor es muy alto.
natanü2 ,(na²⁵ta⁵nü²),s.n.," ramas, copa ","natanü2 (na²⁵ta⁵nü²) s.n. ramas, copa (de un árbol)",,,
natanügu naxã ,(na²ta³nü⁵gu⁵ nax²ã³),v. refl.,"  afiliarse, unirse ","natanügu naxã (na²ta³nü⁵gu⁵ nax²ã³) v. refl.  afiliarse, unirse Yema churaragütanügu naxã nax norü  uanügüxü̃ nadai̱ x̱ ü̃cax̱ . Se unió con los  soldados para matar al enemigo.",Yema churaragütanügu naxã nax norü  uanügüxü̃ nadai̱ x̱ ü̃cax̱ . Se unió con los  soldados para matar al enemigo.,Yema churaragütanügu naxã nax norü  uanügüxü̃ nadai̱ x̱ ü̃cax̱ .,Se unió con los  soldados para matar al enemigo.
natanüxü̃ ,(na²³ta³nüx³ü²),s.n.,"['especie ', 'descendiente ']",natanüxü̃ (na²³ta³nüx³ü²) s.n.1.  especie Ngẽma yiruti rü  muxtucutanüxü̃ nixĩ. Esa ave es una especie de paloma.2.  descendiente Dabítanüxü̃ nixĩ. Era  descendiente de David.,Ngẽma yiruti rü  muxtucutanüxü̃ nixĩ. Esa ave es una especie de paloma.2.  descendiente Dabítanüxü̃ nixĩ. Era  descendiente de David.,Ngẽma yiruti rü  muxtucutanüxü̃ nixĩ. Esa ave es una especie de paloma.2.  descendiente Dabítanüxü̃ nixĩ.,Era  descendiente de David.
natapexe ,(na²³ta⁵pex̱ ⁵e³),s.n.," cumbre, pico  ","natapexe (na²³ta⁵pex̱ ⁵e³) s.n. cumbre, pico  (de montaña)  Véase nachitaeru",,,
natapütüwe ,(na²ta³pü⁵tü³we²),v.i.," ser  barrigón, tener barriga grande ","natapütüwe (na²ta³pü⁵tü³we²) v.i. ser  barrigón, tener barriga grande Nüma rü  natapütüwe erü poraãcü nachibü. Él tiene barriga grande porque come  mucho.",Nüma rü  natapütüwe erü poraãcü nachibü. Él tiene barriga grande porque come  mucho.,Nüma rü  natapütüwe erü poraãcü nachibü.,Él tiene barriga grande porque come  mucho.
natapü̱ xüchire ,(na²ta⁴pü̱ x⁵ü³chi⁴re²),v. refl.,  granularse ,natapü̱ xüchire (na²ta⁴pü̱ x⁵ü³chi⁴re²) v. refl.  granularse Natapü̱ xüchire ga norü ui yerü  tama mea nipa. Su fariñase granuló porque no la secóbien.,Natapü̱ xüchire ga norü ui yerü  tama mea nipa. Su fariñase granuló porque no la secóbien.,Natapü̱ xüchire ga norü ui yerü  tama mea nipa.,Su fariñase granuló porque no la secóbien.
nataramẽxẽ ,(na²³ta³ra³mẽx̱ ⁵ẽ²),s.n., palma ,nataramẽxẽ (na²³ta³ra³mẽx̱ ⁵ẽ²) s.n. palma (de la mano) Nataramexẽwa  nangu̱ x. Le duele la palma de la mano.,Nataramexẽwa  nangu̱ x. Le duele la palma de la mano.,Nataramexẽwa  nangu̱ x.,Le duele la palma de la mano.
natarapae ,(na²ta³ra²pa⁵e³),v.i., pescar ,"natarapae (na²ta³ra²pa⁵e³) v.i. pescar (con tarrafa), tarrafear  Choxnicax̱ natarapae ya  tutü. Mi tío está tarrafeando para coger  pescado.",Choxnicax̱ natarapae ya  tutü. Mi tío está tarrafeando para coger  pescado.,Choxnicax̱ natarapae ya  tutü.,Mi tío está tarrafeando para coger  pescado.
natarecutü ,(na²ta³re²cu⁵tü³),s.m., dedo  ,natarecutü (na²ta³re²cu⁵tü³) s.m. dedo  (del pie),,,
nataru ,(na³ta²ru⁴),s.n., ,nataru (na³ta²ru⁴) s.n. Navidad,,,
natatachinü1 ,(na²ta²ta²chi³nü³),v.e., ser ancho ,natatachinü1 (na²ta²ta²chi³nü³) v.e. ser ancho Natatachinü i chorü  mecha. Mi mesa es ancha.,Natatachinü i chorü  mecha. Mi mesa es ancha.,Natatachinü i chorü  mecha.,Mi mesa es ancha.
natatachinü2 ,(na²ta²ta³chi⁵nü²),s.n., nalga  ,natatachinü2 (na²ta²ta³chi⁵nü²) s.n. nalga  Natatachinü i ngẽma duü̃xü̃. Esa persona tiene nalgas grandes.,Natatachinü i ngẽma duü̃xü̃. Esa persona tiene nalgas grandes.,Natatachinü i ngẽma duü̃xü̃.,Esa persona tiene nalgas grandes.
natatanü ,(na²ta³⁵ta⁵nü⁵),v.e., ser caro ,natatanü (na²ta³⁵ta⁵nü⁵) v.e. ser caro Yima mutúru rü choxǘ ̃̃  natatanü. A mi parecer ese motor es muy caro.,Yima mutúru rü choxǘ ̃̃  natatanü. A mi parecer ese motor es muy caro.,Yima mutúru rü choxǘ ̃̃  natatanü.,A mi parecer ese motor es muy caro.
nataueru ,(na²tau³e⁴ru²),v.e., ser canoso ,nataueru (na²tau³e⁴ru²) v.e. ser canoso Chorü o̱ xi rü nataueru erü  marü naya. Mi abuelo está lleno de canas porque ya es viejo.,Chorü o̱ xi rü nataueru erü  marü naya. Mi abuelo está lleno de canas porque ya es viejo.,Chorü o̱ xi rü nataueru erü  marü naya.,Mi abuelo está lleno de canas porque ya es viejo.
natauxcha ,(na²taux²cha⁵),v.e.,"['ser fácil ', 'ser posible ']",natauxcha (na²taux²cha⁵) v.e.1.  ser fácil Ngẽma puracü rüchoxǘ ̃̃ natauxcha erü marü chomaxã nixü.    Ese trabajo me es fácil porque ya tengo experiencia.2.  ser posible Antón. naguxcha,Ngẽma puracü rüchoxǘ ̃̃ natauxcha erü marü chomaxã nixü.    Ese trabajo me es fácil porque ya tengo experiencia.2.  ser posible Antón.,Ngẽma puracü rüchoxǘ ̃̃ natauxcha erü marü chomaxã nixü.,Ese trabajo me es fácil porque ya tengo experiencia.2.  ser posible Antón.
natauxchica ,(na²taux²chi¹ca⁵),v.e., estar ausente,natauxchica (na²taux²chi¹ca⁵) v.e. estar ausenteNgẽma buxü̃ rü natauxchica i  norü iscuerawa erü nidaxawe. Ese niño está ausente de la escuela  porque está enfermo.,Ngẽma buxü̃ rü natauxchica i  norü iscuerawa erü nidaxawe. Ese niño está ausente de la escuela  porque está enfermo.,Ngẽma buxü̃ rü natauxchica i  norü iscuerawa erü nidaxawe.,Ese niño está ausente de la escuela  porque está enfermo.
natauxecha ,(na²taux²e⁵cha⁵),v.i., faltar  ,natauxecha (na²taux²e⁵cha⁵) v.i. faltar  (siempre a alguien) Nüxǘ ̃̃ natauxecha ga norü õna erü tama napuracü.  Siempre le falta comida porque no  trabaja.,Nüxǘ ̃̃ natauxecha ga norü õna erü tama napuracü.  Siempre le falta comida porque no  trabaja.,Nüxǘ ̃̃ natauxecha ga norü õna erü tama napuracü.,Siempre le falta comida porque no  trabaja.
natauxetü ,(na²taux³e²tü⁵),v.e., ser ciego ,natauxetü (na²taux³e²tü⁵) v.e. ser ciego Natauxetü erü naxãmachipü̱  xüxetü. Es ciego porque tiene carnosidad en los ojos.,Natauxetü erü naxãmachipü̱  xüxetü. Es ciego porque tiene carnosidad en los ojos.,Natauxetü erü naxãmachipü̱  xüxetü.,Es ciego porque tiene carnosidad en los ojos.
nataxa ,(na³⁵tax²a³),s.n., nieto,nataxa (na³⁵tax²a³) s.n. nieto,,,
nataxaacü ,(na³⁵tax²a³a³cü⁵),s.n., bisnieto,nataxaacü (na³⁵tax²a³a³cü⁵) s.n. bisnieto,,,
nataxe ,(na²tax²e³),v.t.," negociar, comerciar ","nataxe (na²tax²e³) v.t. negociar, comerciar Yimá yatü rü nataxe  curichigümaxã. El hombre comercia con curichis.",Yimá yatü rü nataxe  curichigümaxã. El hombre comercia con curichis.,Yimá yatü rü nataxe  curichigümaxã.,El hombre comercia con curichis.
nataxu ,(na²tax²u³),v.e.," haber escasez, ser escaso ","nataxu (na²tax²u³) v.e. haber escasez, ser escaso Ngẽxguma nataxu̱ xgu  i ui rü natatanü. Cuando hay escasez de fariña, se pone cara.","Ngẽxguma nataxu̱ xgu  i ui rü natatanü. Cuando hay escasez de fariña, se pone cara.",Ngẽxguma nataxu̱ xgu  i ui rü natatanü.,"Cuando hay escasez de fariña, se pone cara."
nataxuma ,(na²tax²u³ma³),v.i., no haber nada ,nataxuma (na²tax²u³ma³) v.i. no haber nada Nataxuma i norü choxni erü  marü namaxã nataxe. No hay nada de su pescado porque ya lo ha vendido.,Nataxuma i norü choxni erü  marü namaxã nataxe. No hay nada de su pescado porque ya lo ha vendido.,Nataxuma i norü choxni erü  marü namaxã nataxe.,No hay nada de su pescado porque ya lo ha vendido.
nate ,(na²te²),s.m.," esposo, marido  ","nate (na²te²) s.m. esposo, marido  Véase ngĩte",,,
natéca ,(na²te¹ca⁵),v.e.," estar desafilado, no tener filo ","natéca (na²te¹ca⁵) v.e. estar desafilado, no tener filo Natéca i ñaa  cüxchi. Este cuchillo no tiene filo. Antón. natex̱",Natéca i ñaa  cüxchi. Este cuchillo no tiene filo. Antón.,Natéca i ñaa  cüxchi. Este cuchillo no tiene filo.,Antón.
natechaü̃ ,(na²te²chaü̃⁵),s.n., novio,natechaü̃ (na²te²chaü̃⁵) s.n. novio,,,
nateechita ngeãẽxü̃ ,(na²te²e⁴chi²ta⁵ nge²ã¹ẽx⁴ü²),adj., adúltero,nateechita ngeãẽxü̃ (na²te²e⁴chi²ta⁵ nge²ã¹ẽx⁴ü²) adj. adúltero,,,
nateeyax ,(na²te²e³ya̱x⁵),s.f., cuñada  ,nateeyax (na²te²e³ya̱x⁵) s.f. cuñada  (hermana del marido)  Véase ãxmaxcü,,,
natex ,(na²tex̱ ⁵),v.i.," estar afilado, tener filo","natex (na²tex̱ ⁵) v.i. estar afilado, tener filoNoxri marü chanawaixmagu rü ngẽmacax natex i chorü tara. Recién  he afilado mi machete y por eso tiene filo.  Antón. natéca",Noxri marü chanawaixmagu rü ngẽmacax natex i chorü tara. Recién  he afilado mi machete y por eso tiene filo.  Antón.,Noxri marü chanawaixmagu rü ngẽmacax natex i chorü tara. Recién  he afilado mi machete y por eso tiene filo.,Antón.
natexeane ,(na²³tex̱ ⁵e³a⁵ne⁵),s.n., polvo,natexeane (na²³tex̱ ⁵e³a⁵ne⁵) s.n. polvo,,,
natoṍ ̃ẽmare ,(na²to⁵õ¹ẽ⁴ma³re³),v.t., distraer ,natoṍ ̃ẽmare (na²to⁵õ¹ẽ⁴ma³re³) v.t. distraer Airugü rü duü̃xü̃güxü̃  natoṍ ̃ẽgümare i ngẽxguma nanguxtanüü̃gu ega ngutaquexewa  nangexmagüyane i  duü̃xü̃gü. Los  perros distraen a la gente cuando ladran mientras que están reunidos.,Airugü rü duü̃xü̃güxü̃  natoṍ ̃ẽgümare i ngẽxguma nanguxtanüü̃gu ega ngutaquexewa  nangexmagüyane i  duü̃xü̃gü. Los  perros distraen a la gente cuando ladran mientras que están reunidos.,Airugü rü duü̃xü̃güxü̃  natoṍ ̃ẽgümare i ngẽxguma nanguxtanüü̃gu ega ngutaquexewa  nangexmagüyane i  duü̃xü̃gü.,Los  perros distraen a la gente cuando ladran mientras que están reunidos.
natoṍ ̃xẽ ,(na²to⁵õx¹ẽ⁴),v.i., pensar ,"natoṍ ̃xẽ (na²to⁵õx¹ẽ⁴) v.i. pensar (de otra manera), tener otra  manera (de pensar) Marü natoṍ ̃xẽ ya chaune erü wüxi i  duü̃xü̃ i chixexü̃gu rüxĩnüxü̃maxã naxãmücü. Mi hijo tiene otra manera de  pensar porque se junta con unamigo mal pensado.",Marü natoṍ ̃xẽ ya chaune erü wüxi i  duü̃xü̃ i chixexü̃gu rüxĩnüxü̃maxã naxãmücü. Mi hijo tiene otra manera de  pensar porque se junta con unamigo mal pensado.,Marü natoṍ ̃xẽ ya chaune erü wüxi i  duü̃xü̃ i chixexü̃gu rüxĩnüxü̃maxã naxãmücü.,Mi hijo tiene otra manera de  pensar porque se junta con unamigo mal pensado.
natoraxü̃xü̃ ,(na⁵to⁵rax⁵ü̃x³ü²),adj., diferente ,natoraxü̃xü̃ (na⁵to⁵rax⁵ü̃x³ü²) adj. diferente Ngẽma naxchiru rü  natoraxü̃xü̃ nixĩ i naxcax cutaxexü̃.  Esa ropa que has comprado es diferente.,Ngẽma naxchiru rü  natoraxü̃xü̃ nixĩ i naxcax cutaxexü̃.  Esa ropa que has comprado es diferente.,Ngẽma naxchiru rü  natoraxü̃xü̃ nixĩ i naxcax cutaxexü̃.,Esa ropa que has comprado es diferente.
natoxchinüxü̃ ,(na³tox²chi²nüx²ü̃²),v.t.," timonear, popear ","natoxchinüxü̃ (na³tox²chi²nüx²ü̃²) v.t. timonear, popear Nguewa  natoxchinüxü̃ nax mea yaxũxücax̱ .  Timonea la canoa para que vaya derecho.",Nguewa  natoxchinüxü̃ nax mea yaxũxücax̱ .  Timonea la canoa para que vaya derecho.,Nguewa  natoxchinüxü̃ nax mea yaxũxücax̱ .,Timonea la canoa para que vaya derecho.
